indicator_id,name,family_role_primary,family_role_secondary,level,output_type_primary,digitization_level,universe_tier,description_short,notes_phase2
dividend_flag,Dividend Event Flag,Event & Regime,,L1,flag,rule,0,True near dividend ex-date/payment.,Dividend event context.
split_flag,Split Event Flag,Event & Regime,,L1,flag,rule,0,True around stock splits or reverse splits.,Structural price-change event.
event_window_state_v1,Event Window State v1,Event & Regime,,L2,category,rule,1,"States like pre-event, event-day, post-event.",Event-centric regime.
risk_on_off_state_v1,Risk-On/Off State v1,Event & Regime,Risk & Exposure,L3,category,rule,1,Simple risk-on/off classification from macro/market indicators.,High-level market sentiment regime.
macro_release_flag_v1,Macro Release Flag v1,Event & Regime,,L1,flag,rule,1,Flags major macroeconomic releases.,Macro event awareness.
regime_cluster_id_v1,Regime Cluster ID v1,Event & Regime,Volatility & Range,L3,category,ml_pattern,2,ML-based cluster of market regimes.,"Advanced, multi-indicator clustering."
macro_regime_state_v1,Macro Regime State v1,Event & Regime,Valuation & Fundamentals,L3,category,ml_pattern,2,"Discrete macro regimes (e.g., high inflation).",Requires macro datasets and modeling.
dd_intraday,Intraday Drawdown,Risk & Exposure,,L1,scalar,formula,0,Drawdown relative to intraday peak.,Core risk metric.
dd_trailing_20,Trailing Drawdown (20),Risk & Exposure,,L1,scalar,formula,0,Drawdown over trailing 20 bars.,Short-horizon risk.
beta_market_60,Market Beta (60),Risk & Exposure,,L1,scalar,formula,1,Rolling beta vs benchmark over 60 bars.,Systematic risk measure.
gross_exposure,Gross Exposure,Risk & Exposure,,L1,scalar,formula,0,Sum of absolute position sizes.,Portfolio-level risk load.
net_exposure,Net Exposure,Risk & Exposure,,L1,scalar,formula,0,Net long-minus-short exposure.,Directional risk indicator.
var_1d_95,1-Day 95% VaR,Risk & Exposure,,L2,scalar,formula,1,Value-at-Risk estimate for 1-day horizon at 95% confidence.,Model-based risk metric.
es_1d_95,1-Day 95% ES,Risk & Exposure,,L2,scalar,formula,1,Expected Shortfall for 1-day horizon at 95% confidence.,Tail-risk measure.
concentration_idx_v1,Concentration Index v1,Risk & Exposure,,L2,scalar,formula,1,Herfindahl-type index of position concentration.,Diversification proxy.
stress_state_v1,Stress State v1,Risk & Exposure,Event & Regime,L3,category,ml_pattern,2,"Stress indicator from correlations, vol, drawdown.","Advanced, ML-based stress mapping."
risk_budget_util_v1,Risk Budget Utilization v1,Risk & Exposure,,L3,scalar,rule,2,Utilization of allotted risk budgets vs policy.,Control-level risk utilization.
